file_id	group_filename	decade	ver1	ver2	ver3	ver4	ver5	ver6	ver7	ver8	vis1	vis2	vis3	vis4	vis5	vis6	vis7	vis8
t000110	1960/tv_com_1960_9.txt	1960	0	-1	1	0	0	2	0	0	2	3	-1	7	16	0	2	0
t000111	1960/tv_com_1960_10.txt	1960	1	-1	-1	-1	0	0	1	1	5	3	1	4	4	1	2	0
t000112	1960/tv_com_1960_11.txt	1960	2	-2	1	0	0	-1	0	0	-2	1	-1	0	0	0	1	1
t000113	1960/tv_com_1960_13.txt	1960	7	-1	0	-1	0	0	-1	1	0	1	0	-1	2	0	4	1
t000114	1960/tv_com_1960_14.txt	1960	2	-1	1	0	0	-1	0	0	1	0	1	-1	1	0	3	0
t000115	1960/tv_com_1960_16.txt	1960	3	-2	0	-1	-1	-2	0	1	2	1	4	2	6	0	0	0
t000116	1960/tv_com_1960_17.txt	1960	5	-2	-1	1	0	-2	0	0	3	0	6	1	1	0	3	0
t000117	1960/tv_com_1960_18.txt	1960	5	1	-1	-2	-1	-1	0	1	5	3	5	13	6	0	2	-1
t000118	1960/tv_com_1960_19.txt	1960	8	0	1	-3	1	2	-1	1	-1	0	2	6	4	0	3	0
t000119	1960/tv_com_1960_20.txt	1960	3	0	1	0	-1	-1	0	0	1	0	5	3	1	2	5	0
t000120	1960/tv_com_1960_21.txt	1960	2	0	0	0	0	3	1	0	2	1	4	-1	9	2	7	1
t000121	1960/tv_com_1960_22.txt	1960	2	-1	-2	-1	-1	0	0	0	-1	1	2	1	8	1	5	0
t000122	1960/tv_com_1960_23.txt	1960	0	1	0	0	0	-1	2	1	2	0	2	0	-1	0	6	0
t000123	1960/tv_com_1960_25.txt	1960	6	0	-2	1	0	0	-1	2	0	3	3	1	3	1	3	0
t000124	1960/tv_com_1960_26.txt	1960	4	-1	1	0	1	2	0	2	1	0	1	4	0	0	3	1
t000125	1960/tv_com_1960_27.txt	1960	4	1	1	1	-1	-1	-1	1	1	4	0	0	2	2	2	-1
t000126	1960/tv_com_1960_28.txt	1960	3	0	0	0	-1	2	0	0	6	1	4	2	0	3	3	1
t000127	1960/tv_com_1960_30.txt	1960	1	0	0	5	-1	4	0	-1	3	2	1	2	7	1	2	0
t000128	1960/tv_com_1960_31.txt	1960	3	-2	-1	0	0	-1	1	1	2	4	7	2	11	1	4	0
t000129	1960/tv_com_1960_32.txt	1960	1	0	0	0	0	0	0	0	1	0	8	2	7	0	4	0
t000130	1960/tv_com_1960_33.txt	1960	1	-1	3	1	1	-3	1	1	14	-3	5	3	4	0	4	0
t000131	1960/tv_com_1960_36.txt	1960	5	0	1	-1	0	-4	2	0	20	-2	3	8	1	2	0	-1
t000132	1960/tv_com_1960_37.txt	1960	2	-1	1	0	0	-3	0	0	3	0	4	2	5	2	7	0
t000133	1960/tv_com_1960_38.txt	1960	3	-1	2	1	-1	-1	1	1	11	1	4	-3	3	0	3	0
t000134	1960/tv_com_1960_39.txt	1960	5	0	0	2	-1	0	0	0	-1	6	2	3	5	0	7	0
t000135	1960/tv_com_1960_40.txt	1960	1	0	0	-1	-1	-1	0	0	3	5	3	3	8	2	11	0
t000136	1960/tv_com_1960_41.txt	1960	2	1	-1	-1	1	0	1	-1	-2	1	3	3	5	3	6	0
t000137	1960/tv_com_1960_43.txt	1960	3	-1	-1	0	0	-2	0	0	4	0	1	9	5	-1	5	1
t000138	1960/tv_com_1960_44.txt	1960	1	0	-1	0	0	0	1	0	6	0	3	2	11	1	7	-1
t000139	1960/tv_com_1960_45.txt	1960	2	0	-1	-3	0	1	0	1	6	1	2	7	5	1	5	1
t000140	1960/tv_com_1960_46.txt	1960	3	0	2	-1	1	-1	1	0	2	4	0	4	7	0	7	0
t000141	1960/tv_com_1960_47.txt	1960	2	0	1	-1	1	-1	0	0	5	1	3	1	2	2	-1	0
t000142	1960/tv_com_1960_48.txt	1960	7	0	2	0	1	-2	0	2	3	0	0	1	7	1	4	0
t000143	1960/tv_com_1960_50.txt	1960	0	-1	0	0	0	0	0	0	14	1	6	2	2	0	0	0
t000144	1960/tv_com_1960_51.txt	1960	4	-1	2	0	0	0	-1	1	3	0	-1	1	1	0	1	-1
t000145	1960/tv_com_1960_52.txt	1960	0	-1	0	0	0	1	0	0	6	0	1	0	2	0	1	0
t000146	1960/tv_com_1960_53.txt	1960	4	-2	2	-1	-4	-1	-1	-1	19	0	3	1	4	0	1	1
t000147	1960/tv_com_1960_54.txt	1960	0	0	7	0	-3	0	0	-1	18	0	7	-2	1	2	1	-1
t000148	1960/tv_com_1960_55.txt	1960	-1	0	1	0	0	0	0	0	4	-1	0	2	2	0	2	0
t000149	1960/tv_com_1960_56.txt	1960	0	1	0	0	1	0	0	0	1	1	1	0	2	0	5	0
t000150	1960/tv_com_1960_57.txt	1960	1	2	2	0	1	-1	0	1	6	3	4	2	13	5	0	0
t000151	1960/tv_com_1960_58.txt	1960	6	0	1	3	0	-1	1	1	0	3	2	3	3	0	6	0
t000152	1960/tv_com_1960_59.txt	1960	1	0	0	0	0	-1	-1	0	17	2	6	8	5	1	5	-1
t000153	1960/tv_com_1960_60.txt	1960	0	0	0	0	0	0	0	2	11	0	4	0	0	1	7	0
t000154	1960/tv_com_1960_61.txt	1960	0	0	1	0	0	0	1	1	2	-2	0	0	4	-1	1	0
t000155	1960/tv_com_1960_62.txt	1960	2	-3	1	1	0	-1	2	2	-1	0	2	-1	0	0	1	0
t000156	1960/tv_com_1960_64.txt	1960	3	0	1	-1	-1	-4	0	0	1	2	1	2	1	1	6	0
t000157	1960/tv_com_1960_65.txt	1960	7	-2	2	-1	0	1	2	-1	3	4	1	1	5	3	2	2
t000158	1960/tv_com_1960_66.txt	1960	1	-1	0	-2	1	-1	-1	-1	1	1	0	0	1	1	6	1
t000159	1960/tv_com_1960_67.txt	1960	9	-1	-1	0	0	0	1	0	0	0	3	1	3	0	7	0
t000160	1960/tv_com_1960_68.txt	1960	4	-1	3	2	0	0	-1	2	11	2	2	1	0	0	4	3
t000161	1960/tv_com_1960_69.txt	1960	5	0	0	-1	1	-2	0	2	3	-1	9	1	1	2	3	0
t000162	1960/tv_com_1960_70.txt	1960	1	2	1	0	0	0	0	0	2	0	4	3	6	1	3	-1
t000163	1960/tv_com_1960_71.txt	1960	0	0	1	1	0	-2	0	-1	8	1	4	-2	4	3	6	-1
t000164	1960/tv_com_1960_72.txt	1960	0	0	0	1	0	0	0	0	3	3	5	2	2	0	4	0
t000165	1960/tv_com_1960_75.txt	1960	1	1	2	-1	-1	-1	1	-1	20	-1	4	0	6	4	7	-1
t000166	1960/tv_com_1960_76.txt	1960	3	0	3	0	0	-2	5	1	2	1	0	-2	1	1	3	0
t000167	1960/tv_com_1960_77.txt	1960	3	-1	2	-2	-1	-1	0	0	5	2	1	-1	2	3	0	-1
t000168	1960/tv_com_1960_78.txt	1960	0	-1	0	1	0	0	1	0	1	0	-1	-4	0	1	3	-1
t000169	1960/tv_com_1960_79.txt	1960	3	-2	0	-1	1	-1	6	0	0	3	5	-3	5	3	0	-1
t000170	1960/tv_com_1960_80.txt	1960	3	0	3	1	0	0	-1	0	13	0	5	1	1	0	2	0
t000171	1960/tv_com_1960_81.txt	1960	4	1	2	0	0	0	-1	1	3	1	9	4	6	3	-1	-1
t000172	1960/tv_com_1960_82.txt	1960	3	-2	0	1	0	0	0	1	5	3	6	6	3	5	2	0
t000173	1960/tv_com_1960_83.txt	1960	2	0	0	4	0	0	0	1	3	1	5	2	3	0	7	1
t000174	1960/tv_com_1960_84.txt	1960	2	1	1	1	1	0	0	1	2	1	14	2	3	-1	2	-1
t000175	1960/tv_com_1960_85.txt	1960	3	-1	2	0	0	-5	3	0	3	2	3	-1	1	3	8	0
t000176	1960/tv_com_1960_86.txt	1960	0	-1	2	0	0	-1	3	0	5	1	4	0	-1	3	2	0
t000177	1960/tv_com_1960_87.txt	1960	0	0	-1	-1	0	0	0	0	0	6	5	2	2	2	0	0
t000178	1960/tv_com_1960_88.txt	1960	6	0	-1	0	0	0	2	0	1	2	2	1	7	4	7	0
t000179	1960/tv_com_1960_90.txt	1960	2	0	0	0	0	-1	1	-1	6	3	-1	3	1	4	2	0
t000180	1960/tv_com_1960_91.txt	1960	1	-1	2	0	-1	2	0	0	0	3	3	0	2	2	6	-1
t000181	1960/tv_com_1960_92.txt	1960	3	0	0	0	-1	4	0	0	5	-2	-2	4	9	1	6	0
t000182	1960/tv_com_1960_93.txt	1960	6	3	0	-1	-1	0	0	0	4	4	-1	-3	1	5	5	0
t000183	1960/tv_com_1960_94.txt	1960	3	1	4	0	0	-3	1	-1	-1	5	1	1	0	0	2	0
t000184	1960/tv_com_1960_95.txt	1960	2	2	2	-1	1	-2	0	0	0	4	3	-6	2	1	0	0
t000185	1960/tv_com_1960_96.txt	1960	0	2	0	-2	0	0	0	1	0	-1	1	-2	0	0	4	0
t000186	1960/tv_com_1960_97.txt	1960	2	8	1	0	0	0	1	1	-1	5	6	-4	3	1	6	0
t000187	1960/tv_com_1960_98.txt	1960	6	4	0	1	1	1	2	1	5	2	0	-1	3	0	4	0
t000188	1960/tv_com_1960_99.txt	1960	2	1	0	4	0	-3	0	1	0	2	9	-3	2	0	2	0
t000189	1960/tv_com_1960_100.txt	1960	9	-1	0	2	0	-3	2	-1	2	4	0	0	10	1	5	0
t000190	1960/tv_com_1960_101.txt	1960	9	1	5	0	0	0	0	-1	-1	3	1	-1	0	1	2	0
t000191	1960/tv_com_1960_102.txt	1960	5	-1	0	0	0	-2	1	-2	6	3	2	-1	2	1	-1	0
t000192	1960/tv_com_1960_103.txt	1960	4	1	2	0	0	-2	5	-1	-3	0	1	0	0	0	2	0
t000193	1960/tv_com_1960_105.txt	1960	3	1	0	0	1	0	0	1	6	6	1	1	4	1	10	-1
t000194	1960/tv_com_1960_106.txt	1960	1	5	3	0	1	0	0	0	5	1	2	-2	0	-1	2	0
t000195	1960/tv_com_1960_108.txt	1960	5	4	3	-1	-1	0	2	2	5	0	5	0	0	1	7	1
t000196	1960/tv_com_1960_109.txt	1960	2	0	0	0	-1	0	0	0	2	1	3	-1	1	0	4	0
t000197	1960/tv_com_1960_110.txt	1960	3	0	1	1	-1	0	0	0	7	1	1	0	1	0	3	0
t000198	1960/tv_com_1960_111.txt	1960	6	0	2	0	-1	0	1	0	4	0	2	0	0	0	2	-2
t000199	1960/tv_com_1960_112.txt	1960	2	0	2	0	-2	0	0	1	12	1	1	3	4	5	3	0
t000200	1960/tv_com_1960_113.txt	1960	8	-1	0	0	0	0	-1	0	-1	-1	-1	0	0	1	4	0
t000201	1960/tv_com_1960_114.txt	1960	3	1	2	-1	-1	-2	0	1	16	1	2	0	5	3	1	2
t000202	1960/tv_com_1960_115.txt	1960	5	0	1	0	-1	-1	2	-2	12	0	0	2	10	0	1	0
t000203	1960/tv_com_1960_116.txt	1960	5	0	2	2	1	3	0	1	7	3	3	5	4	3	8	1
t000204	1960/tv_com_1960_117.txt	1960	2	-1	0	-1	0	0	0	-1	2	1	6	1	2	1	5	1
t000205	1960/tv_com_1960_118.txt	1960	2	0	0	-1	1	2	1	1	4	1	3	6	-1	-1	7	2
t000206	1960/tv_com_1960_119.txt	1960	3	2	1	-1	0	0	1	-2	1	0	4	0	0	0	1	0
t000207	1970/tv_com_1970_2.txt	1970	0	0	0	0	1	-1	0	0	1	2	1	2	9	3	0	0
t000208	1970/tv_com_1970_3.txt	1970	1	0	0	0	0	1	0	0	-1	2	1	2	4	2	7	0
t000209	1970/tv_com_1970_4.txt	1970	1	1	0	0	0	0	-1	1	3	5	6	-2	7	1	4	-1
t000210	1970/tv_com_1970_5.txt	1970	4	0	1	0	2	1	0	0	20	0	0	-1	8	0	11	0
t000211	1970/tv_com_1970_6.txt	1970	2	0	-1	0	1	0	0	-1	2	1	0	3	0	0	6	0
t000212	1970/tv_com_1970_7.txt	1970	0	1	1	0	0	1	0	0	5	1	4	2	9	0	7	0
t000213	1970/tv_com_1970_8.txt	1970	1	0	1	0	1	-1	0	0	0	-1	3	2	2	0	7	0
t000214	1970/tv_com_1970_9.txt	1970	4	1	0	-1	0	0	0	-1	3	1	2	-1	3	3	4	0
t000215	1970/tv_com_1970_10.txt	1970	2	0	0	0	0	0	-1	0	8	1	3	3	3	1	8	0
t000216	1970/tv_com_1970_11.txt	1970	3	2	2	0	0	-1	0	0	14	-1	9	2	0	0	2	2
t000217	1970/tv_com_1970_12.txt	1970	2	2	0	-1	1	1	0	0	-1	2	2	2	0	1	3	0
t000218	1970/tv_com_1970_13.txt	1970	1	0	0	0	0	0	0	0	2	3	3	5	2	-1	9	0
t000219	1970/tv_com_1970_14.txt	1970	3	0	1	-1	-1	0	-2	0	1	2	0	4	2	1	2	0
t000220	1970/tv_com_1970_15.txt	1970	2	0	0	-1	0	0	0	0	2	3	4	1	5	1	3	0
t000221	1970/tv_com_1970_16.txt	1970	1	0	0	1	0	0	0	0	-1	3	2	1	3	-2	8	0
t000222	1970/tv_com_1970_17.txt	1970	2	0	1	0	0	2	1	0	10	-1	1	5	2	0	3	0
t000223	1970/tv_com_1970_18.txt	1970	1	0	0	0	0	-1	1	-1	17	5	2	3	2	1	8	0
t000224	1970/tv_com_1970_19.txt	1970	1	1	1	0	1	0	0	1	6	0	2	0	0	-1	1	2
t000225	1970/tv_com_1970_20.txt	1970	0	0	0	0	0	0	0	0	2	1	6	3	1	0	9	0
t000226	1970/tv_com_1970_21.txt	1970	0	-2	0	0	-1	0	1	0	3	2	2	2	3	2	7	0
t000227	1970/tv_com_1970_22.txt	1970	2	0	0	0	-1	-2	0	0	1	1	3	0	4	0	5	2
t000228	1970/tv_com_1970_23.txt	1970	0	0	0	-1	0	0	0	0	0	1	2	1	1	4	5	0
t000229	1970/tv_com_1970_24.txt	1970	1	-1	0	0	0	0	0	0	6	4	2	5	6	1	9	0
t000230	1970/tv_com_1970_25.txt	1970	1	0	0	0	2	0	0	0	6	0	0	0	5	0	7	0
t000231	1970/tv_com_1970_26.txt	1970	2	0	0	-2	-1	2	1	0	0	1	1	1	2	0	9	0
t000232	1970/tv_com_1970_27.txt	1970	0	0	0	-1	0	-2	0	0	0	-1	2	3	4	1	1	1
t000233	1970/tv_com_1970_28.txt	1970	3	0	3	0	-1	0	1	0	9	-1	5	0	1	0	3	0
t000234	1970/tv_com_1970_30.txt	1970	2	0	0	0	0	1	0	2	5	4	2	4	2	2	9	0
t000235	1970/tv_com_1970_31.txt	1970	4	0	3	0	0	0	0	0	12	0	2	1	1	1	2	0
t000236	1970/tv_com_1970_32.txt	1970	2	0	1	0	0	-1	-1	-1	7	0	2	1	0	0	4	0
t000237	1970/tv_com_1970_33.txt	1970	1	0	1	0	0	-1	0	0	0	0	1	1	0	2	2	1
t000238	1970/tv_com_1970_34.txt	1970	2	0	0	0	0	0	0	0	1	4	2	1	3	0	7	-1
t000239	1970/tv_com_1970_35.txt	1970	0	0	0	-2	0	1	0	0	4	2	-1	5	2	0	3	0
t000240	1970/tv_com_1970_36.txt	1970	3	-1	0	0	0	0	1	1	2	1	1	0	3	8	0	0
